순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,주연 배우,주연 배우 코드,조연 배우,조연 배우 코드,감독 코드
1257,버닝,이창동,"파인하우스필름, 나우필름",,CGV아트하우스,2018-05-17,개봉영화,장편,한국,739,"4,714,345,098",528153,"1,765,445,398","194,098",미스터리,청소년관람불가,일반영화,"유아인, 스티븐 연, 전종서","10053802, 20215507, 20282652","문성근, 김수경","10026716, 20311753",10057659
1258,챔프,이환경,"씨엘엔터테인먼트, 대명문화공장, 예인문화, 화인웍스",,쇼박스,2011-09-07,개봉영화,장편,한국,288,"3,805,721,000",528149,"962,576,500","126,060",드라마,12세이상관람가,일반영화,"차태현, 김수정, 유오성, 박하선","10071209, 20114341, 10053861, 10029456","백도빈, 윤희석, 이서이, 김광규, 김상호, 김기천, 손병욱","10030280, 10054609, 20154232, 10003606, 10004448, 10003728, 20346995",10058252
1259,7년의 밤,추창민,"바른손, 씨제이이엔엠",,씨제이이엔엠,2018-03-28,개봉영화,장편,한국,872,"3,969,337,524",528007,"1,046,793,224","133,744",스릴러,15세이상관람가,일반영화,"류승룡, 장동건, 송새벽, 고경표","10019065, 10060114, 10037095, 20136885","이레, 탕준상, 이상희, 서현우, 전배수, 최광일, 정인겸","20179001, 10079524, 20147107, 20221406, 10061276, 10072112, 10062132",10072983
1262,몬스터,황인호,상상필름,,롯데쇼핑롯데엔터테인먼트,2014-03-13,개봉영화,장편,한국,527,"4,136,202,515",526282,"1,110,307,115","135,839",스릴러,청소년관람불가,일반영화,"이민기, 김고은, 김뢰하, 배진웅","10055447, 20125838, 10004034, 20310549","안서현, 윤진하, 박병은, 김부선, 이현빈, 허준석, 남경읍, 배성우, 유재명, 조복래","20137818, 20113272, 10028660, 10004373, 20192830, 10088450, 10007481, 20136191, 20152117, 20203246",10090261
1270,얼굴 없는 미녀,김인식,아이필름홀딩스,,"CJ ENM, 아이러브시네마",2004-08-06,개봉영화,장편,한국,0,0,520753,0,"181,984",스릴러,18세관람가,일반영화,"김혜수, 김태우","10006380, 10006120","한정수, 김영애","10087723, 20166471",10005426
1271,헬머니,신한솔,"전망좋은 영화사, TCO더콘텐츠온",,넥스트엔터테인먼트월드(NEW),2015-03-05,개봉영화,장편,한국,422,"4,096,141,972",519983,"799,976,772","98,593",코미디,청소년관람불가,일반영화,"김수미, 정만식, 김정태, 이태란, 이성민, 이영은, 박준금","10004748, 10061699, 10005617, 10057882, 20195609, 10056679, 10029263","홍성덕, 조영진, 장원영, 박충선","10089534, 10066710, 20113281, 10029425",10040668
1276,장르만 로맨스,조은지,비리프,,넥스트엔터테인먼트월드(NEW),2021-11-17,개봉영화,장편,한국,"1,194","5,191,579,940",518269,"1,312,337,430","130,682",드라마,15세이상관람가,일반영화,"류승룡, 오나라, 김희원, 이유영, 성유빈, 무진성","10019065, 20133937, 10006545, 20189016, 20202246, 20325132","오정세, 박형수, 김귀선, 최희진, 정수지, 김범수","10050734, 20231468, 20336270, 10072934, 20293110, 20329212",10066805
1278,아이스케키,여인광,엠케이픽처스,,엠케이픽처스,2006-08-24,개봉영화,장편,한국,0,0,516492,0,"118,858",드라마,전체관람가,일반영화,"신애라, 박지빈, 이재룡","10040491, 10029298, 10057193","김선영, 진구","20150459, 10070417",10049776
1282,여배우들,이재용,주식회사 뭉클픽쳐스,,쇼박스,2009-12-10,개봉영화,장편,한국,271,"3,784,176,467",514052,"1,685,058,500","218,939",드라마,12세이상관람가,독립/예술영화,"고현정, 김민희, 이미숙, 윤여정, 최지우, 김옥빈","10001825, 10004236, 20111403, 10054391, 10072767, 10005064","손대식, 정희연, 유태오, 유태오","20123631, 20124578, 20312494, 20312494",10057210
1287,가려진 시간,엄태화,바른손이앤에이,,쇼박스,2016-11-16,개봉영화,장편,한국,884,"3,946,462,400",510878,"1,183,297,400","144,193",드라마,12세이상관람가,일반영화,"강동원, 신은수, 이효제","10000558, 20217766, 20217767","김희원, 권해효, 김단율, 정우진, 엄태구, 박종환","10006545, 10002548, 20245389, 20245409, 20111842, 20112032",10047368
