순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,주연 배우,주연 배우 코드,조연 배우,조연 배우 코드,감독 코드
6037,어머니,태준식,어머니 제작위원회,,인디스토리,2012-04-05,개봉영화,장편,한국,19,"25,321,400",3730,"17,060,400","2,399",다큐멘터리,12세이상관람가,독립/예술영화,이소선,20127331,,,10079546
6039,철원기행,김대환,"타이거시네마, DGC",,주식회사 디에스이이디,2016-04-21,개봉영화,장편,한국,29,"26,063,600",3714,"13,829,000","1,817",드라마,12세이상관람가,독립/예술영화,"문창길, 이영란, 김민혁, 허재원","10026821, 10056645, 20234046, 20234047",이상희,20147107,20191466
6045,델타 보이즈,고봉수,,,인디스토리,2017-06-08,개봉영화,장편,한국,28,"26,490,600",3705,"17,195,000","2,204",드라마,15세이상관람가,독립/예술영화,"백승환, 이웅빈, 신민재, 김충길, 윤지혜","20277829, 20277849, 20277830, 20277850, 20277831",김정기,20320153,20210668
6049,신비아파트 뮤지컬 시즌3 : 뱀파이어왕의 비밀,김종해,씨제이이엔엠,,씨제이이엔엠,2021-05-22,개봉영화,장편,한국,55,"54,186,000",3700,"10,318,000",738,공연,전체관람가,일반영화,,,,,20372912
6052,인천스텔라,백승기,꾸러기스튜디오,,영화사 그램,2021-03-25,개봉영화,장편,한국,50,"26,516,080",3692,"16,724,910","2,237",SF,12세이상관람가,독립/예술영화,"손이용, 강소연, 정광우, 권수진, 민지혁","20190039, 20365902, 20343458, 20342155, 20147298","박채은, 조근직, 서현민, 신예주, 변동욱","20367436, 20322247, 20322246, 20343911, 20344938",20120681
6053,구원,이창무,새바엔터테인먼트,,영화사오원,2021-04-08,개봉영화,장편,한국,32,"25,388,250",3689,"14,832,500","2,424",스릴러,청소년관람불가,독립/예술영화,"김대건, 이상인, 고관재, 김정팔, 임서은","20372672, 20331432, 20111892, 20160378, 20155900","장재희, 김경룡, 이제후, 허린, 주석제, 장햇님, 우가은","20331812, 10003531, 20369776, 20340032, 20343268, 20374429, 20335461",20163471
6061,소피의 세계,이제한,마름모필름,,찬란,2022-03-03,개봉영화,장편,한국,84,"31,288,600",3663,"18,464,400","2,066",드라마,12세이상관람가,독립/예술영화,"아나 루지에로, 김새벽, 곽민규","20381110, 20126450, 20305349","장기열, 설찬미, 주나래, 모나리, 손형규, 김하송, 채익희, 서영화, 박란, 신석호, 김우겸","20385421, 20336485, 20385422, 20385429, 20385423, 20385424, 20385425, 20067819, 20151650, 20311509, 20351692",10057348
6076,큰엄마의 미친봉고,백승환,백그림,,백그림,2021-01-21,개봉영화,장편,한국,67,"24,358,250",3632,"10,924,450","1,677",코미디,12세이상관람가,일반영화,"정영주, 김가은, 정은경, 황석정, 이지현, 하정민, 신서우, 유성주, 유병훈, 최민철, 송동환, 조달환, 정재광, 윤선아","20331278, 20336186, 20322893, 10090114, 20313312, 20325632, 20373847, 20343496, 20343457, 10072255, 20332936, 10065609, 20281329, 20373851","홍윤희, 곽민석","20111616, 20065042",20267714
6077,맥코리아,김형렬,디케이미디어,,주식회사 마운틴픽쳐스,2012-10-18,개봉영화,장편,한국,16,"25,154,000",3631,"17,125,000","2,314",다큐멘터리,15세이상관람가,독립/예술영화,"공지영, 탁현민","10001909, 20123864",강희용,20179402,20123862
6081,애정만세,"양익준, 부지영",인디스토리,,KT&G 상상마당 영화사업팀 컴퍼니에스에스,2011-06-09,개봉영화,옴니버스,한국,13,"27,029,400",3620,"20,150,900","2,512",멜로/로맨스,15세이상관람가,독립/예술영화,"류혜영, 서주희","20113462, 10035603",연상호,10049814,"10047036, 10031684"
6082,"2021 스웨그 에이지 : 외쳐, 조선!","우진하, 곽기영",피엘종합기획,,위즈온센,2021-05-13,개봉영화,장편,한국,34,"34,736,900",3615,"22,486,600","2,288",뮤지컬,12세이상관람가,일반영화,"양희준, 김수하, 임현수, 이경수, 장재웅, 정선기, 정아영, 김은총, 심수영, 김승용, 김재형, 노현창, 황자영, 민소영, 류연진, 임상희","20375354, 20375356, 20375357, 20375371, 20375359, 20375360, 20375361, 20375362, 20375363, 20375364, 20375372, 20375365, 20375366, 20375367, 20375368, 20375369",,,"20375347, 20375348"
6085,들리나요?,"김봉한, 신승환",영화사장춘,,트리플픽쳐스,2020-06-10,개봉영화,장편,한국,103,"35,911,140",3598,"15,187,480","1,570",다큐멘터리,전체관람가,독립/예술영화,"김창옥, 김홍주, 한정자","20347633, 20368449, 20369688","김미경, 김미자, 김효숙, 문영철, 박종호, 이종인, 임남훈","20367304, 20367317, 20368475, 20368613, 20368834, 20369780, 20369935","10004369, 20185031"
6088,"구라, 베토벤",봉수,오씨네,,목영이엔엠,2021-02-25,개봉영화,장편,한국,11,"21,690,100",3594,"13,782,200","2,258",기타,15세이상관람가,독립/예술영화,"송동환, 김누리, 봉수, 구하나","20332936, 20364458, 10050150, 20372853","김예호, 김민경, 김윤미, 김병만, 김동혁, 김강민, 양다슬","20371912, 20371893, 20371894, 20371913, 20371895, 20372840, 20373612",10050150
6091,대관람차,"백재호, 이희섭",우주레이블,,무브먼트,2018-08-30,개봉영화,장편,한국,36,"29,812,250",3591,"22,999,950","2,616",드라마,12세이상관람가,독립/예술영화,"강두, 호리 하루나, 지대한","20302569, 10035182, 10069842",,,"20177441, 20153480"
6094,"나의 친구, 그의 아내",신동일,프라임엔터테인먼트,,프라임엔터테인먼트,2008-11-27,개봉영화,장편,한국,1,"23,780,830",3586,"16,332,200","2,375",드라마,청소년관람불가,독립/예술영화,"장현성, 박희순, 홍소희","10060624, 10029595, 10089608","조용준, 주희","10066745, 20143599",20111178
6099,어서오시게스트하우스,심요한,K'arts,,리틀빅픽쳐스,2020-08-13,개봉영화,장편,한국,58,"31,441,670",3573,"21,519,000","2,350",드라마,15세이상관람가,독립/예술영화,"이학주, 박선영, 신민재, 신재훈","20223186, 20156620, 20277830, 20332592","김범진, 김윤지, 김주헌","20342571, 20374305, 20359192",20244391
6103,순천,이홍기,리키필름,,인디플러그,2014-09-04,개봉영화,장편,한국,5,"22,738,200",3562,"8,774,100","1,156",다큐멘터리,전체관람가,독립/예술영화,윤우숙,20190065,,,20178633
6109,수성못,유지영,한국영화아카데미,,인디스토리,2018-04-19,개봉영화,장편,한국,36,"26,185,400",3539,"11,992,800","1,384",드라마,15세이상관람가,독립/예술영화,"이세영, 김현준, 남태부","10056083, 20198906, 20189237","강신일, 김민규, 오동민, 박현영, 강소연, 윤정로","10000736, 20133865, 20323872, 20100597, 20345953, 20341174",20187943
6111,가자! 장미여관으로 2 - 갈증,김봉은,드림로드,,에이블엔터테인먼트,2014-04-10,개봉영화,장편,한국,20,"14,471,000",3534,"520,000",104,멜로/로맨스,청소년관람불가,일반영화,"황정아, 이현국","20188768, 20192826",강경돈,10000482,10004364
6117,"힘내세요, 병헌씨",이병헌,,,인디스토리,2013-06-27,개봉영화,장편,한국,18,"25,463,600",3522,"18,462,100","2,471",코미디,15세이상관람가,독립/예술영화,"홍완표, 양현민, 김영현, 허준석","20163403, 20174970, 20174971, 10088450","황인국, 손산","20183866, 20329872",20125862
6123,우리에게 내일은 없다,노동석,청년필름,,스폰지,2007-05-17,개봉영화,장편,한국,0,0,3500,0,"2,682",드라마,15세이상관람가,일반영화,"김병석, 김용균, 최재성, 유아인, 이윤형","10004277, 10005098, 10072660, 10053802, 20164137","강병화, 최성진, 이용택, 김준기, 박명신, 조민석","10000638, 10072363, 10056828, 20165073, 10028600, 10065827",10007941
6130,저녁의 게임,최낙권,리얼곤시네마또,,한국예술영화관협회,2009-10-29,개봉영화,장편,한국,4,"24,758,309",3487,"20,054,500","2,725",드라마,청소년관람불가,독립/예술영화,"하희경, 정재진","10087349, 10062191",강봉석,10000644,10072560
6138,이파네마 소년,김기훈,고스트라이터필름,,프리비젼엔터테인먼트,2010-11-04,개봉영화,장편,한국,13,"25,432,810",3465,"10,204,000","1,348",멜로/로맨스,12세이상관람가,독립/예술영화,"김민지 , 이수혁","10004222, 20111011","문대성, 송민, 천우희, 김미경","20166827, 20124843, 20133966, 20113345",10003747
6141,일탈여행: 프라이빗 아일랜드,한상희,컨텐츠로드,,팝엔터테인먼트,2013-08-29,개봉영화,장편,한국,23,"18,135,500",3460,"10,106,000","1,866",멜로/로맨스,청소년관람불가,일반영화,"손은서, 신소율, 다은, 한재범","10036892, 20111744, 20178261, 20178262",김진선,20120963,10087516
6143,너의 여자친구,이장희,,,"스톰픽쳐스코리아, 와이드 릴리즈",2019-12-04,개봉영화,장편,한국,74,"21,916,400",3456,"9,293,940","1,168",코미디,12세이상관람가,독립/예술영화,"이엘리야, 지일주","20329532, 20313313","허정민, 김기두, 이진이, 김희선, 정예진, 류혜린, 고건한, 이태검","10088437, 20147712, 20329533, 20365294, 20256372, 20158575, 20365295, 20335366",20329515
6147,나의 노래는 멀리멀리,현진식,,,영화사 풀,2019-10-03,개봉영화,장편,한국,27,"28,137,380",3442,"11,261,780","1,328",다큐멘터리,전체관람가,독립/예술영화,"김지희, 이순도, 김태식, 김지민","20330232, 20330216, 20363516, 20314347","김은성, 하주현, 송정연","20363013, 20363517, 20363518",20243749
6152,채식주의자,임우성,"블루트리픽쳐스, 루돌프필름",,스폰지이엔티,2010-02-18,개봉영화,장편,한국,19,"25,547,105",3434,"15,983,500","2,078",드라마,청소년관람불가,독립/예술영화,"채민서, 김현성, 김여진, 김영재, 윤지혜","10071672, 10006267, 10004911, 10005012, 10054532","송봉한, 태인호, 최진호, 이승연","20124926, 20127332, 20134082, 10056247",10058698
6153,천국의 아이들,박흥식,"서울시 교육청, 인벤트스톤, 노마드필름",,미로비젼,2012-05-24,개봉영화,장편,한국,7,"19,220,000",3432,"12,301,500","2,248",드라마,12세이상관람가,독립/예술영화,"유다인, 박지빈","10053565, 10029298","이연호, 천인서","20181243, 20329272",20110989
6154,"무현, 두 도시 이야기 : 파이널 컷",전인환,엠앤씨에프,,인디스토리,2017-08-30,개봉영화,장편,한국,103,"24,499,000",3431,"10,997,500","1,451",다큐멘터리,15세이상관람가,독립/예술영화,노무현,10008060,,,20153728
6155,니나 내나,이동은,"명필름, 로랜드스튜디오",,리틀빅픽쳐스,2019-10-30,개봉영화,장편,한국,51,"27,337,980",3427,"18,748,300","2,195",드라마,12세이상관람가,독립/예술영화,"장혜진, 태인호, 이가섭, 김진영, 김진영","20304270, 20127332, 20283729, 20311996, 20366964","이효제, 백지원, 김푸름, 고인범, 김미경, 이종원, 한별, 김종구, 이수미","20217767, 20143136, 20328492, 10001738, 20113345, 20331853, 20305210, 20187990, 20158006",20233786
6157,메리 크리스마스 미스터 모,임대형,영화사 달리기,,인디스토리,2017-12-14,개봉영화,장편,한국,31,"23,963,800",3418,"16,721,500","2,172",코미디,12세이상관람가,독립/예술영화,"기주봉, 오정환, 고원희","10003307, 20286749, 20212187","전여빈, 김정영, 김학선, 윤태희, 신정섭","20279250, 20113318, 10006185, 20341773, 20337374",20189542
6160,성덕,오세연,해랑사,,오드,2022-09-28,개봉영화,장편,한국,60,"26,319,798",3409,"19,604,199","2,435",다큐멘터리,12세이상관람가,독립/예술영화,오세연,20380234,,,20380234
6162,로맨스 조,이광국,보리픽쳐스,,씨네21아이,2012-03-08,개봉영화,장편,한국,19,"25,937,600",3402,"19,854,100","2,492",드라마,15세이상관람가,독립/예술영화,"김영필, 신동미, 이채은, 이다윗","10005034, 10040291, 10057698, 10055073","서영화, 조덕제, 김동현, 백익남","20067819, 20111862, 20069196, 20344762",10054828
6164,박강아름 결혼하다,박강아름,창작집단3355 (A.3355),,영화사 진진,2021-08-19,개봉영화,장편,한국,32,"24,748,710",3386,"19,450,210","2,588",다큐멘터리,전체관람가,독립/예술영화,"박강아름, 정성만, 김수진","20210546, 20354932, 20367545","정보리강, 슈슈, 김수진, 손지영","20354962, 20354963, 20367545, 20378226",20210546
6165,어느날 그 길에서,황윤,스튜디오두마,,영화사 진진,2008-03-27,개봉영화,장편,한국,4,"21,767,000",3380,"18,867,000","2,884",다큐멘터리,전체관람가,독립/예술영화,"최천권, 최동기, 황윤, 최태영","10072815, 10072178, 10090225, 20135613",,,10090225
6166,봄이가도,"장준엽, 진청하, 전신환",왕십리픽쳐스,,시네마달,2018-09-13,개봉영화,장편,한국,31,"24,339,700",3379,"16,565,300","2,202",드라마,12세이상관람가,독립/예술영화,"유재명, 전미선, 전석호, 김혜준","20152117, 10061272, 20178087, 20301309","정희태, 박지연, 김민하","10062493, 20137023, 20334292","20189533, 20303809, 20211448"
6172,질투의 역사,정인봉,유앤정필름,,"와이드 릴리즈, 스톰픽쳐스코리아",2019-03-14,개봉영화,장편,한국,83,"30,276,830",3372,"13,969,650","1,371",멜로/로맨스,15세이상관람가,독립/예술영화,"남규리, 오지호, 장소연, 김승현, 강경숙, 송재호, 이여진, 남규리","10007498, 10050782, 10060279, 10004834, 20335664, 10037206, 20342486, 10007498","박한솔, 윤승훈, 이화시, 송해나","20336865, 10054378, 10058245, 20344915",10062136
6175,다우더,구혜선,예스 프로덕션,,어뮤즈,2014-11-06,개봉영화,장편,한국,41,"23,895,800",3365,"11,423,900","1,480",가족,15세이상관람가,독립/예술영화,"심혜진, 구혜선, 현승민, 윤다경","10040919, 10002274, 20196006, 10054226",권범택,10002376,10002274
6184,미스체인지,정초신,"브런치메이트필름, 주식회사 루믹스미디어",,브릿지웍스 엔터테인먼트,2013-09-05,개봉영화,장편,한국,41,"23,494,500",3344,"6,600,000",888,코미디,청소년관람불가,일반영화,"송재하, 이수정, 정은우, 신유주","10037091, 20176500, 20133633, 20166890","이주엽, 주종휘","20181944, 20182904",10062335
6185,더 펜션,"류장하, 양종현, 윤창모, 정허덕재","조이래빗, 제이콘컴퍼니",,영화사오원,2018-06-21,개봉영화,장편,한국,90,"30,492,000",3340,"18,339,500","1,879",드라마,15세이상관람가,독립/예술영화,"조재윤, 조한철, 박효주, 박혁권, 이영진, 신소율, 이이경, 황선희, 김태훈","10066926, 10067417, 10029573, 10029480, 10056688, 20111744, 20124322, 20167023, 20333032","유지연, 박지연, 채유리, 박지연, 윤주, 황건","20152472, 20111145, 20148338, 20137023, 20131557, 20189370","10019097, 10047074, 10054545, 10062385"
6191,비행,조성빈,써드아이비디오,,"아이 엠, 케이티알파",2020-03-19,개봉영화,장편,한국,128,"28,441,440",3326,"16,686,200","1,881",드라마,15세이상관람가,독립/예술영화,"홍근택, 차지현, 장준현, 조성빈","20290671, 20342289, 20249233, 20303449",윤정욱,20365155,20303449
6197,물방울을 그리는 남자,"김오안, 브리짓 부이요",미루픽처스,,영화사 진진,2022-09-28,개봉영화,장편,한국,47,"27,909,600",3304,"24,062,300","2,841",다큐멘터리,전체관람가,독립/예술영화,김창열,20385571,,,"20360392, 20385171"
6201,"1999, 면회",김태곤,광화문시네마,,인디스토리,2013-02-21,개봉영화,장편,한국,20,"23,266,300",3289,"15,773,300","2,179",드라마,15세이상관람가,독립/예술영화,"심희섭, 김창환, 안재홍, 김꽃비","20153620, 20147137, 10043631, 10003756",황미영,20239407,10006078
6205,공포체험단 곤지암편,정범식,하이브미디어코프,,쇼박스,2019-07-19,개봉영화,장편,한국,10,"17,285,500",3282,"5,342,000","1,006",공포(호러),15세이상관람가,일반영화,"위하준, 박지현, 오아연, 문예원, 박성훈, 이승욱, 류제윤","20301569, 20256609, 20301590, 20302249, 20301589, 20302269, 20302270",,,10061758
6214,고려 아리랑: 천산의 디바,김소영,822 필름,,시네마달,2017-05-25,개봉영화,장편,한국,21,"22,027,000",3260,"12,368,700","1,654",다큐멘터리,전체관람가,독립/예술영화,"방 타마라, 이함덕","10079136, 10085920",,,10004709
6217,흩어진 밤,"이지형, 김솔","타이거시네마, DGC",,영화배급협동조합 씨네소파,2021-06-24,개봉영화,장편,한국,49,"27,613,840",3258,"14,751,840","1,628",드라마,전체관람가,독립/예술영화,"문승아, 최준우, 김채원, 임호준","20325252, 20326532, 20326552, 20305350","정경임, 김정우, 강석원, 장의돈, 김나경, 임동민, 안진솔, 민설애, 설창호, 이현서, 권윤하","20370127, 20371996, 20373944, 20340258, 20364840, 20344946, 20369199, 20336157, 20377257, 20344200, 20367051","20324978, 20272892"
6218,소설가 구보의 하루,임현묵,영화사 다동극장,,필름다빈,2021-12-09,개봉영화,장편,한국,36,"21,836,470",3252,"13,993,880","2,046",드라마,12세이상관람가,독립/예술영화,박종환,20112032,"김새벽, 기주봉, 문창길, 류제승, 김경익, 정민결","20126450, 10003307, 10026821, 20343265, 10003562, 20345993",20210686
6221,"위대한 계약: 파주, 책, 도시","김종신, 정다운",기린그림,,영화사 진진,2022-04-21,개봉영화,장편,한국,30,"27,535,700",3247,"19,360,000","2,156",다큐멘터리,전체관람가,독립/예술영화,"이기웅, 이건복, 김언호, 이은, 승효상, 민현식, 김영준","20382128, 20382146, 20382129, 10056984, 20127092, 20382130, 20382131",,,"20329853, 20324792"
6223,삼례,이현정,리람,,인디플러그,2016-06-23,개봉영화,장편,한국,26,"24,086,600",3243,"17,267,300","2,182",드라마,15세이상관람가,독립/예술영화,"이선호, 김보라","20127460, 20125801",오동진,10050183,20168120
6224,죽음의 숲-어느날 갑자기 네번째 이야기,김정민,"소프트랜드 영상 사업부 에이포스트 픽쳐스, CJ ENM",,CJ ENM,2006-08-17,개봉영화,장편,한국,0,0,3241,0,"1,651",공포(호러),18세관람가,일반영화,"이종혁, 소이현","10057411, 10036673","박세영, 김용대, 최성민, 박충선","20110647, 10005102, 20154690, 10029425",10005562
6226,아워 미드나잇,임정은,화목한영화사,,필름다빈,2021-11-11,개봉영화,장편,한국,50,"24,159,470",3235,"12,909,470","1,635",드라마,12세이상관람가,독립/예술영화,"이승훈, 박서은","20378529, 20379187","임영우, 한해인, 고관재, 민효경, 이정혁, 이건우, 정재윤, 장근영, 오규철","20347217, 20327412, 20111892, 20343703, 20332452, 20371613, 20283730, 20154993, 20344663",20250056
6228,미라클 여행기,허철,"미라클필름, 꿈길제작소, 허철필름",,미라클필름,2015-01-15,개봉영화,장편,한국,12,"20,562,500",3228,"13,008,500","2,117",다큐멘터리,전체관람가,독립/예술영화,최미라,20188866,"김영민, 김정민","20227291, 20227366",20114576
6232,스웨그,임성관,퍼플스트로우필름,,영화사오원,2020-12-10,개봉영화,장편,한국,118,"30,300,660",3214,"18,971,540","1,998",드라마,15세이상관람가,독립/예술영화,"니엘, 최규진, 이보림","20373221, 20373222, 20373256","남경, 정애연, 신영규, 정기성, 석영훈, 천현진, 유수정","20333913, 10061947, 20220964, 20373257, 20344756, 20148991, 20337814",20367802
6235,왕십리 김종분,김진열,인디스토리,,인디스토리,2021-11-11,개봉영화,장편,한국,32,"26,482,600",3203,"19,988,500","2,196",다큐멘터리,12세이상관람가,독립/예술영화,김종분,20379206,,,10005927
6236,달려라 자전거,임성운,"핑퐁, 티피에스컴퍼니",,영화사 진진,2008-08-07,개봉영화,장편,한국,4,"21,392,500",3201,"15,694,000","2,250",드라마,전체관람가,독립/예술영화,"한효주, 이영훈","10087820, 20111701","유주희, 전일범, 김응수, 이은, 유주희","10053980, 10061427, 10005374, 20133956, 20152441",10058621
6237,방문자,신동일,"엘제이필름, 프라임엔터테인먼트",,CJ ENM,2006-11-15,개봉영화,장편,한국,0,0,3201,0,"3,201",드라마,15세이상관람가,독립/예술영화,"김재록, 강지환, 윤희선, 이경한","10005484, 10000877, 20131935, 20137755","성민영, 송근호, 신승호, 신재선, 최호준, 서승오, 김상완, 윤태련, 장정민, 윤혜진, 이종인","20122824, 20124602, 20131538, 20133090, 20136586, 20145526, 20147800, 20156571, 20160265, 10054593, 20165444",20111178
6239,무명인,김성수,"아폴론엔터테인먼트, 롯데쇼핑롯데엔터테인먼트, 무명인 문화전문회사, 해피넷",,롯데쇼핑롯데엔터테인먼트,2014-05-29,개봉영화,장편,한국,51,"25,063,600",3199,"8,701,500","1,100",미스터리,15세이상관람가,일반영화,"니시지마 히데토시, 김효진","10008468, 10006497","이경영, 박동하","10054755, 20200189",10004597
6242,붉은 가족,이주형,김기덕 필름,,김기덕 필름,2013-11-06,개봉영화,장편,한국,8,"22,678,500",3192,"9,936,500","1,289",드라마,15세이상관람가,독립/예술영화,"김유미, 정우, 손병호","10005231, 10062023, 10036828","박병은, 이양희","10028660, 20127572",20174072
6244,더스트맨,김나경,한국예술종합학교 산학협력단,,트리플픽쳐스,2021-04-07,개봉영화,장편,한국,47,"20,748,280",3175,"12,784,310","1,919",드라마,12세이상관람가,독립/예술영화,"우지현, 심달기, 강길우, 민경진","20238466, 20285309, 20322111, 10027768","성령, 전운종, 곽민준, 송철호, 최광원","20375647, 20346192, 20214927, 20336292, 20289312",20210586
6246,아수라도,윤여창,굿픽처스,,제이앤씨미디어그룹,2021-03-18,개봉영화,장편,한국,101,"27,725,060",3166,"5,309,570",634,액션,청소년관람불가,일반영화,"이설구, 장광, 이원종","20111650, 10060043, 10056895","이달형, 정미남, 황인무, 문서연","10055081, 20179649, 20137037, 20301829",10054393
6247,미친도시,장태령,주식회사 케이엠스타,,영화사 마그나,2018-08-30,개봉영화,장편,한국,4,"24,029,500",3165,"8,129,500","1,034",드라마,15세이상관람가,일반영화,"한태일, 이경영","10087795, 20308389","조준희, 최진희","20137801, 20323482",10060574
6250,10분,"이용승, 박기용",타이거시네마,,롯데쇼핑롯데엔터테인먼트,2014-04-24,개봉영화,장편,한국,23,"24,284,400",3158,"12,884,400","1,640",드라마,12세이상관람가,독립/예술영화,"백종환, 김종구, 정희태, 최석원","20187989, 20187990, 10062493, 20195158","조용철, 장리우, 정승길","20194781, 10060144, 10061920","20112022, 10028506"
6253,마마 앤드 파파,장태령,주식회사 케이엠스타,,주식회사 케이엠스타,2010-05-20,개봉영화,장편,한국,1,"22,468,773",3149,"20,344,000","2,640",드라마,전체관람가,일반영화,"김진아, 박정은 , 유하은, 노시정, 정한성","20112285, 10029185, 20112286, 10008107, 20133717","정현욱, 손민지, 허지원, 정희영, 김호영, 조서진, 조승우, 조유나, 주민정, 임선희, 허기호, 김준환","20123429, 20123682, 20124650, 10062487, 20130298, 20130866, 20132309, 20134343, 20141682, 20155985, 10088259, 20165336",10060574
6258,맛있는 비행,전병철,로드하우스,,노바엔터테인먼트,2015-10-22,개봉영화,장편,한국,21,"16,041,000",3141,"8,130,000","1,566",멜로/로맨스,청소년관람불가,일반영화,"손덕기, 정유진, 신유주","20217667, 20217668, 20166890",,,20299569
6263,관계의 가나다에 있는 우리는,이인의,굿인스토리,,시네마달,2021-01-28,개봉영화,장편,한국,39,"24,380,140",3131,"15,877,940","1,939",드라마,전체관람가,독립/예술영화,"은해성, 오하늬, 이서윤","20333752, 20221674, 20341387","장준휘, 김지나, 강애심, 이보영, 조윤희, 임호준, 구재연, 안민영, 김선화, 김희창, 홍상표, 김태준, 박병철","20169566, 20341388, 20333143, 20231668, 20341143, 20305350, 10002244, 20308649, 20338506, 10006568, 20154480, 20148715, 20293090",10057084
6277,가을 우체국,임왕태,"BPM 엔터테인먼트, 동아방송예술대학교산학협력단, HATCH FILM, 미디어테라스",,에스와이코마드,2017-10-19,개봉영화,장편,한국,74,"23,270,700",3099,"14,316,900","1,792",멜로/로맨스,12세이상관람가,독립/예술영화,"보아, 이학주","20131537, 20223186","임현식, 오광록, 송옥숙, 조희봉","10058908, 10050043, 10037140, 10067494",20113788
6278,샘,황규일,모토,,롯데컬처웍스롯데엔터테인먼트,2018-11-29,개봉영화,장편,한국,68,"24,757,750",3098,"17,191,650","1,996",멜로/로맨스,12세이상관람가,독립/예술영화,"최준영, 류아벨, 조재영","20311832, 20236647, 20311833","김경일, 최주영, 전운종","20145783, 20323457, 20346192",20166961
6283,멋진 인생,신춘수,,,영화사 조제,2011-06-09,개봉영화,장편,한국,17,"23,575,200",3089,"16,869,700","2,149",드라마,12세이상관람가,독립/예술영화,"오세정, 이창용, 정성화","10050431, 20113453, 10061861","이석준, 변희석","20067300, 20144534",20113398
6284,영도,손승웅,브릿지 프로덕션,,콘텐츠판다,2015-09-10,개봉영화,장편,한국,21,"24,304,000",3089,"13,724,500","1,614",드라마,청소년관람불가,독립/예술영화,"태인호, 김근수, 이상희, 강보경","20127332, 20214449, 20147107, 20143799",조영진,10066710,20112554
6288,턴: 더 스트릿,임석진,"26컴퍼니, 발키리픽처스",,26컴퍼니,2021-03-31,개봉영화,장편,한국,34,"18,293,000",3072,"9,300,000","1,389",드라마,12세이상관람가,독립/예술영화,"김승훈, 홍은기, 최연청, 이유진, 오명교, 권혁진","20373493, 20338843, 20373494, 20373521, 20373495, 20373522","양치승, 김율리, 송유리, 박세준, 김상겸","20373523, 20375241, 20375242, 20110804, 20314265",20112294
6289,귀신,정하용,주식회사 시네마천국,,스튜디오 보난자,2021-08-25,개봉영화,장편,한국,31,"26,790,200",3070,"13,304,500","1,547",공포(호러),청소년관람불가,독립/예술영화,"정이랑, 함건수, 최이태, 이슬기","20332232, 20375567, 20288869, 20375089","정순미, 이무녕, 김종훈, 김경옥, 박종민, 이신화, 박성진, 김영빈, 이승훈, 김민웅, 문삼국, 김대한, 김동우, 김건하, 심민섭, 장병수, 민소정, 이민규","20371257, 20364363, 20341352, 20300597, 20378474, 20378490, 20185232, 20378475, 20378476, 20378473, 20329455, 20312156, 20370264, 20378491, 20136420, 20344788, 20378477, 20381191",20350793
6290,하얀 정글,송윤희,제유필름,,영화사 진진,2011-12-01,개봉영화,장편,한국,15,"22,831,700",3070,"17,726,200","2,305",다큐멘터리,전체관람가,독립/예술영화,김난숙,10003778,,,20112333
6291,이 안에 외계인이 있다,최은종,"조아필름, 와이제이글로벌그룹, 파랑필름",,"스톰픽쳐스코리아, 와이드 릴리즈",2021-02-03,개봉영화,장편,한국,121,"27,123,130",3069,"10,293,650","1,072",코미디,12세이상관람가,독립/예술영화,"조병규, 배누리, 이현웅, 태항호, 윤진영, 전재형, 김규종 , 윤재","20333254, 20111699, 20349713, 20328733, 20253678, 20193919, 10003670, 20371831","맹봉학, 정건영","20129891, 20179615",10072610
6296,소리굽쇠,추상록,아시아홈 엔터테인먼트,,씨제이이엔엠,2014-10-30,개봉영화,장편,한국,46,"24,048,800",3051,"15,391,400","1,858",드라마,15세이상관람가,독립/예술영화,"조안, 김민상, 이옥희","10066441, 20156820, 20156822","지대한, 조영진","10069842, 10066710",10072961
6299,브라더,신근호,"모그픽쳐스, 더그레이트컴퍼니",,박수엔터테인먼트,2021-10-07,개봉영화,장편,한국,131,"25,349,450",3049,"4,174,100",423,범죄,15세이상관람가,일반영화,"정진운, 조재윤","20110334, 10066926","조원희, 정인기, 노수산나, 김문수, 박경복, 김영조","10066769, 10062134, 20231406, 20131165, 20376488, 20164025",10040268
6300,그댄 나의 뱀파이어,이원회,지오엔터테인먼트,,주식회사 마운틴픽쳐스,2014-06-12,개봉영화,장편,한국,13,"22,393,000",3048,"9,265,200","1,192",드라마,15세이상관람가,독립/예술영화,"최윤영, 박정식","20127911, 20134475","이재윤, 김형미, 문희경, 이마붑","20181573, 20198946, 10026863, 20301338",20188711
6302,우리 연애의 이력,조성은,주식회사 가비안필름스튜디오,,모멘텀엔터테인먼트,2016-06-29,개봉영화,장편,한국,26,"24,084,800",3043,"14,466,000","1,803",멜로/로맨스,15세이상관람가,독립/예술영화,"전혜빈, 신민철","10061532, 20128312","황미영, 예수정, 황승언","20239407, 10049950, 10090163",20215487
6307,ARKO LIVE 뮤지컬 시데레우스,,아이디어랩,,아이디어랩,2021-02-11,개봉영화,장편,한국,14,"45,431,500",3029,"25,843,500","1,723",뮤지컬,전체관람가,일반영화,,,,,
